,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.2865786020458239,,Intercept,314.6498549295321,315.0,0.3501450704678746,315.0
1,1,grade:A,1.1555763650099193,2.0528424338214052e-37,grade,89.0998633683748,89.0,-0.09986336837479826,89.0
2,2,grade:B,0.9129363128734251,2.735161417922122e-51,grade,70.39128109923901,70.0,-0.3912810992390092,70.0
3,3,grade:C,0.7163835845644339,2.2281804532649302e-37,grade,55.23622794369779,55.0,-0.23622794369779143,55.0
4,4,grade:D,0.525333535084082,4.1958815292633116e-23,grade,40.50545478092679,41.0,0.4945452190732098,41.0
5,5,grade:E,0.3422691828425528,3.047604783852355e-13,grade,26.390412914178086,26.0,-0.39041291417808566,26.0
6,6,grade:F,0.15220496637710318,0.0018128760504353262,grade,11.735651678953785,12.0,0.2643483210462154,12.0
7,7,home_ownership:OWN,0.09371448851264551,3.282793461814777e-06,home_ownership,7.2257865208606695,7.0,-0.22578652086066953,7.0
8,8,home_ownership:MORTGAGE,0.10621804985043906,4.430305625553439e-17,home_ownership,8.189864396238413,8.0,-0.18986439623841278,8.0
9,9,addr_state:NM_VA,0.03609657611475734,0.2594506362019251,addr_state,2.783199879536661,3.0,0.21680012046333896,3.0
10,10,addr_state:NY,0.05779221704114437,0.01698770814258427,addr_state,4.456026272289867,4.0,-0.4560262722898667,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05982850331276107,0.009724458025402406,addr_state,4.613032623469771,5.0,0.3869673765302286,5.0
12,12,addr_state:CA,0.06394835420131753,0.0025373518850730545,addr_state,4.930690687777194,5.0,0.06930931222280634,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07898282227705475,0.001513913772337153,addr_state,6.089912260600621,6.0,-0.08991226060062107,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.136947643661594,1.1513544122812375e-09,addr_state,10.559247063489538,11.0,0.4407529365104619,11.0
15,15,addr_state:RI_MA_DE_SD_IN,0.10165421634607089,0.0006560947777923875,addr_state,7.837973379782979,8.0,0.16202662021702086,8.0
16,16,addr_state:GA_WA_OR,0.18574529484339808,3.200929337433794e-12,addr_state,14.321753968828531,14.0,-0.32175396882853136,14.0
17,17,addr_state:WI_MT,0.24044925703221873,4.236501860278375e-07,addr_state,18.539662628366425,19.0,0.4603373716335746,19.0
18,18,addr_state:TX,0.22286269902052505,9.250607068884672e-18,addr_state,17.183664043237478,17.0,-0.18366404323747787,17.0
19,19,addr_state:IL_CT,0.2627677280291551,2.2173460720289323e-19,addr_state,20.260511874362383,20.0,-0.26051187436238266,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3209303071771375,2.1850503259212485e-25,addr_state,24.74509464375212,25.0,0.25490535624787825,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.524192485045121,6.878602284013414e-23,addr_state,40.41747495921501,40.0,-0.41747495921501354,40.0
22,22,verification_status:Not Verified,0.0844328131569542,7.093721255843456e-09,verification_status,6.510129787941414,7.0,0.4898702120585856,7.0
23,23,verification_status:Source Verified,-0.010560952648344531,0.431662149616282,verification_status,-0.8142944650821898,-1.0,-0.18570553491781017,-1.0
24,24,purpose:credit_card,0.3004142784184366,2.0506574113294436e-26,purpose,23.163221377205858,23.0,-0.16322137720585772,23.0
25,25,purpose:debt_consolidation,0.19716785537670814,3.17132609437989e-14,purpose,15.202482074431645,15.0,-0.20248207443164468,15.0
26,26,purpose:oth__med__vacation,0.21326314127397514,6.769385569001017e-12,purpose,16.443497223014326,16.0,-0.4434972230143259,16.0
27,27,purpose:major_purch__car__home_impr,0.26554469140014497,1.6528968622252363e-17,purpose,20.47462758702846,20.0,-0.4746275870284613,20.0
28,28,initial_list_status:w,0.05482003473798368,2.6759540261709047e-05,initial_list_status,4.2268583478357815,4.0,-0.22685834783578152,4.0
29,29,term:36,0.0786580981709985,1.8135240579549998e-08,term,6.064874647892283,6.0,-0.06487464789228259,6.0
30,30,emp_length:1,0.0992003888823696,0.0001301947324091188,emp_length,7.648772822930578,8.0,0.35122717706942197,8.0
31,31,emp_length:2-4,0.1261739848267593,2.2480400387984802e-11,emp_length,9.728552044772174,10.0,0.27144795522782594,10.0
32,32,emp_length:5-6,0.0914288098219384,1.923762215527525e-05,emp_length,7.049550951137625,7.0,-0.049550951137624644,7.0
